video_id,index,no_list,time,categories,part
1001,0,"[1, 2, 3, 4, 5]","['00:00:07,378', '00:00:35,100']",News,"this is the briefing. i'm samantha simmonds. our top story: a blueprint for brexit — theresa may will deliver a long—awaited speech setting out her plans for a future relationship with the eu. the misery goes on — heavy snow and deadly blizzards continue to lash many parts of europe and will continue into the weekend. i'm karin giannone, live in the italian capital, rome, as the last days of campaigning ahead of sunday's election get underway. there"
1001,1,"[6, 7, 8, 9, 10, 11]","['00:00:35,100', '00:01:23,520']",Business & Industrial,"are plenty of new faces and one very familiar old one in the ring. and coming up in the business briefing... raising the temperature. president trump says he'll slap hefty tariffs on foreign steel to protect us workers. but is he playing with fire? we'll be getting the views of steel workers in pennsylvania and the reaction on global markets. a warm welcome to the programme — briefing you on all you need to know in global news, business and sport. and you can be part of the conversation."
1001,2,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","['00:01:23,519', '00:02:29,460']",,"with transport chaos all over europe and people stuck in their cars for hours, we're asking if we've all been woefully underprepared for the beast from the east, even though we knew it was coming. tell us what you think — by using the hashtag in a few hours, the british prime minister, theresa may, will set out her vision for britain's trading relationship with the european union after brexit. she's expected to say she wants the ""deepest and broadest possible"" agreement, and acknowledge that some compromises will be necessary. but she's not expected to change her position on removing the uk from the customs union. bill hayton reports. a shrug of hands and whimsical glance, the body language of the european council president after meeting theresa may on thursday wasn't exactly enthusiastic. donald tusk told her he wasn't happy with the british government's red lines, the refusals to be part of the"
1001,3,"[23, 24, 25, 26, 27]","['00:02:29,460', '00:03:06,319']",Law & Government,"eu's single market and customs union. in her speech later on friday she will outline five tests that any agreement must pass. it must ensure that britain remains a tolerant, european democracy and it must strengthen the unity of the united kingdom. but some brexit supporters say mrs may needs to go further. we need to say, right, this is what we're after, we are reasonable people, we are prepared to compromise, but unless you're prepared to stop treating"
1001,4,"[28, 29, 30, 31, 32, 33]","['00:03:06,319', '00:03:40,859']",Sensitive Subjects,"us like a hostage, treat us with some respect, then we will say that no deal is better than a bad deal and walk away. however, one veteran conservative politician, an opponent of brexit, says that there is far too much to sort out in such a short time. behind all the passion about brexit, there are an awful lot of things, important to our society, important to our jobs, investment and also our security. and the environment and other things have to be sorted out. the eu's brexit negotiator wants"
1001,5,"[34, 35, 36, 37, 38, 39]","['00:03:40,860', '00:04:10,310']",,"to hear specific proposals from the uk but, with her own party still deeply divided, mrs may's speech is more likely to stick to general principles. we will have more analysis of the speech coming up on the programme a little later. heavy snowfall and deadly blizzards will continue to lash many parts of europe into the weekend, forcing airports to cancel or delay flights and rail services to stop trains around the continent. the deep freeze has seen the"
1001,6,"[40, 41, 42, 43, 44, 45]","['00:04:10,310', '00:05:06,279']",Sensitive Subjects,"death toll climb to more than 50 and comes as some countries now brace for a new round of storms. virginia langeberg reports. the snow storms have seen dozens perishing in freezing conditions, many of them rough sleepers. in south—east london man in his 60s died after falling into frozen pond. it may now be officially spring but the wintry blizzards continued to bring highly unusual red weather alert warnings in parts of the uk. it was hit overnight by storm emma."
1001,7,"[46, 47, 48, 49, 50]","['00:05:06,279', '00:05:36,370']",Law & Government,"motorists were told to stay off the roads but that message came too late for thousands already stranded on motorways. here was one of the lucky ones. somehow this car and bus in edinburgh avoided being added to the road accident statistics. portugal and spain have been left battered by storm emma and are now bracing for new storms, expected to bring up to 75 millimetres of rain by the end of the weekend. rough seas are already forcing"
1001,8,"[51, 52, 53, 54, 55]","['00:05:36,370', '00:06:09,049']",Business & Industrial,a offshore oil platform to run aground on the canary islands. pass operation been left frozen in time with temperatures plunging 2-23dc in time with temperatures plunging 2—23dc in eastern parts of the country. —— parts of croatia have been left frozen. what is a spectacle for some is an inconvenience for many others. heavy snowfall has left thousands stranded across europe from flight and rail cancellations.
1001,9,"[56, 57, 58, 59, 60]","['00:06:09,050', '00:06:48,519']",Travel,"this is dublin airport, where flights have been cancelled until saturday at the earliest. we're going to have to stay here until saturday. we're stuck here for two days. i love ireland. but i'm trying to get out of here. when traditional modes of transport fail, there will always be those that improvise. in scotland people in edinburgh had opted for skis to get around on foot whilst in aldershot, home of the british army, still soldiers incorporated a high octane"
1001,10,"[61, 62, 63, 64, 65, 66]","['00:06:48,519', '00:07:18,270']",,"snowball fight as part of their physical training session. and you will hardly hear complaints for children with schools closed because of the conditions meaning that london parks provided the perfect wintry playground. perhaps the only ones enjoying the wintry cold more, these baltic seals, in poland, a p pa re ntly these baltic seals, in poland, apparently unfazed by their frozen whiskers. and we might as well settle in and try to cope, because the cold is sticking around a while longer with"
1001,11,"[67, 68, 69, 70, 71, 72, 73, 74, 75, 76]","['00:07:18,269', '00:08:18,769']",News,"weather warnings remaining in place for the uk until just after midnight on monday. let's brief you on some of the other stories making the news. the catalan separatist leader, carles puigdemont, says he's ending his bid to be re—elected president of the spanish region. but he says the move is only temporary, to try to break the stalemate with the spanish authorities. he's been living in self—imposed exile in belgium since last year's independence referendum. he faces arrest if he returns. police in northern france are reopening files on unsolved rape cases — after a man admitted carrying out around a0 sex attacks dating back to the 1990s. french media have named the suspect as dino scala — a 57 year—old grandfather and caretaker who was president of his village football club. now to our top business story. on his way to the presidency, the plight of america's"
1001,12,"[77, 78, 79, 80, 81]","['00:08:18,769', '00:08:40,259']",People & Society,steelworkers was a core theme in donald trump's message of america first. now he's delivered on that promise to protect an industry in decline — announcing steep new tariffs on steel and aluminium imports next week. the international response was immediate. canada described the tariffs as completely unacceptable. both the european union and china threatened to retaliate — fuelling fears of a global trade war. joel kibazo is a partner at jk
1001,13,"[82, 83, 84, 85, 86, 87]","['00:08:40,259', '00:09:04,000']",Business & Industrial,"associates and a former director of communications at africa development bank. welcome, good morning. this announcement seems to have caught everybody by surprise. announcement seems to have caught everybody by surpriselj announcement seems to have caught everybody by surprise. i think it did. in some ways we should have expected something like this because president trump did sort of make these points during his campaign to become president. but when you wander was a feeling that some of"
1001,14,"[88, 89, 90, 91, 92]","['00:09:04,000', '00:09:33,911']",News,"that was campaign rhetoric and so would not cause the much of a trade war plus his party, the republicans, are the party of free—trade zone there was an expectation that it would go ahead in a very mild form. the way it has happened a stake by surprise. usually there are leaks and signals before something like this happens which helps market sort of study. because it has just come out of the blue, and we have seen the department of trade,"
1001,15,"[93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103]","['00:09:33,910', '00:10:28,500']",,"and the business community in the us was not prayer “— business community in the us was not prayer —— was not prepared for this, so prayer —— was not prepared for this, so hence the falls we have seen on wall street and in asian markets. he's talking about 25% tariff on steel imports and 10% on aluminium. there has been an angry reaction from around the world. much of this is aimed at china. president trump believes that the trade with china is unfair, but that's only 2% and actually the societies that will be at our places like south korea, one of the main exporters to the united states, the third biggest after canada and brazil the united states. above all that there is also the fa ct above all that there is also the fact that it will make things more expensive for consumers. that is why wall street this falling and markets are reacting. and joel will be back in about"
1001,16,"[104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]","['00:10:28,500', '00:11:56,500']",News,"half an hour to review the main stories being covered by the global media. stay with us for that. italians will head to the polls this sunday to elect a new president. the race is between three main parties. there's the centre—right forza italia, headed by a familiar face — former prime minister silvio berlusconi. then there's the five star movement, started star movement, started by comedian bepe grillo in 2009 and now one of europe's biggest populist movements. finally the ruling democratic party led by former prime minister matteo renzi. well let's cross live to rome. my colleague karin giannone is there for us. good morning to you, karen. good morning, samantha. italy has been in the grip of final —— severe winter weather for the final days of this election campaign. there has been a lot of noise from the extremes of politics and as you mentioned there, re—entering the political stage and reinventing himself as an elder statesman is a very familiar figure of 81—year—old silvio berlusconi, but he is barred from actually holding office so he is maintaining the campaign from the sidelines, if you like, but very much centre stage as well. he can't actually be prime minister because of a tax fraud conviction in 2013. let's discuss this more, with me is the chair of constitutional law at a university"
1001,17,"[120, 121, 122, 123, 124, 125]","['00:11:56,500', '00:12:32,959']",Law & Government,"here in rome. 0n the issue of silvio berlusconi, what exactly can you do? he was convicted and since there is a law that provides as a consequence that he is banned from public office, he has filed an appeal to the european court of human rights, but the final decision is not due before fall, so at this moment that rules him out of the possibility to hold any office but as you know, he'sa very hold any office but as you know, he's a very charismatic leader, so,"
1001,18,"[126, 127, 128, 129, 130, 131]","['00:12:32,960', '00:13:08,850']",News,"asa he's a very charismatic leader, so, as a political leader from his party, as the opinion polls show, he is very able to mobilise the actors and his party is gaining, and there isa and his party is gaining, and there is a slight possibility that the right—wing coalition wins an outright majority on the day of the election. there is an interesting factor this time around that the electoral system is actually a new one. it is a very complicated. no one. it is a very"
1001,19,"[132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148]","['00:13:08,850', '00:15:04,269']",,"complicated. no one is sure how it is going to work. it is complicated because it is a mixture of systems. two thirds of it is proportional in mechanism and the third part is first past the post. since the italian system, as everybody knows, is a very fragmented system, it is very unlikely that some party or some coalition gets a majority so, if silvio berlusconi is such a success, it is possible, but not very likely. then what happens, it is going to be interesting to see. but what i would rule out is that the president goes for another dissolution. there is no tradition of double dissolution, one following the other. the possibility is that we restored the negotiation as it has happened in many countries in europe. we have to leave it there. we could be seeing a period of more uncertainty for many weeks to come. giovanni, thank you. with that, it is back to you in london. stay with us on the briefing. also on the programme... pick up a penguin — we'll tell you about the thriving colony of birds enjoying life off the antarctic peninsula. first the place slid gently off the restaurant tables, then suddenly the people, the tables on the chairs crashed sideways and downwards and it was just a matter of seconds until the very lurched onto our side. a hydrogen bomb on a remote pacific atoll. the americans have successfully tested a weapon which dwarfs the force of the bomb dropped on hiroshima."
1001,20,"[149, 150, 151, 152, 153]","['00:15:04,269', '00:15:47,670']",Law & Government,"i had heard the news earlier and my heart went bang and bang. the constitutional rights of these marshals are the rights of the citizens of the us, and they should be protected so they do not get their heads broken and sent to hospital. this religious controversy, i know you don't want to say much about it, but will it boil up when you get to the state? it worries me, but i think i'm going to be all right you're watching the briefing. 0ur"
1001,21,"[154, 155, 156, 157, 158, 159]","['00:15:47,669', '00:16:14,959']",News,"headlines: heavy snowfall and deadly blizzards will continue to lash many parts of europe into the weekend, forcing airports to cancel or delay flights and rail services to stop trains around the continent. our top story — in a few hours, britain's prime minister will set out her vision for britain's trading relationship with the european union after brexit. let's stay with that now. with me is dr elaine fahey, reader in european law at city university here in london. good"
1001,22,"[160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170]","['00:16:14,958', '00:17:08,448']",,"morning. thank you for coming in. this is being billed as a real step forward and from what we have seen step forward and from what we have seen about what the prime minister was going to say, do you think it is? is difficult to have a step forward after the obligation of the eu draft treaty on wednesday. my understanding is that this is sound bites and the eu needs to see the detail of what the uk in visages going forward. one year before we have to leave, and we are still talking about what we want never mind actually deciding what we want. theresa may is struggling to unite her own party and satisfy the demands of the eu at the same time. it is almost impossible balancing act that she is juggling but the uk signed up in december two seconds set up as a pulse of the treaty published on wednesday is not necessarily so different. it is difficult to see how this division in the face of uk"
1001,23,"[171, 172, 173, 174, 175]","['00:17:08,449', '00:17:42,390']",Reference,"agreement, as of december. what do you think we will hear about northern ireland, which isa hear about northern ireland, which is a sticking point, as we heard in the withdrawal agreement published on wednesday? the eu envisages something that the british prime minister says will not allow to happen. how are they going to come together on this? the treaty is saying, this is an entity for the purposes of law, and the uk is signed up to the integrity"
