video_id,index,no_list,time,categories,part
1003,0,"[1, 2, 3, 4, 5, 6, 7, 8]","['00:00:06,049', '00:01:09,250']",Arts & Entertainment,"welcome to bbc news, broadcasting to viewers in north america and around the globe. my name is nkem ifejika. our top stories: the bombardment continues on the ground as the un security council delays a crucial vote on a ceasefire in syria. a former senior adviser to donald trump pleads guilty to conspiracy and lying to fbi investigators. as pressure grows for action on gun ownership, the american president suggests again that classroom teachers should be armed. and taking on the system - the cuban family prepared to go the extra mile for a long-awaited reunion. hello. the un security council has postponed a vote on a ceasefire in syria until later on saturday."
1003,1,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","['00:01:09,250', '00:02:21,670']",Sensitive Subjects,"the resolution would have allowed vital aid supplies to reach eastern ghouta. opposition activists say hundreds have now died in aerial attacks. this is what happened in eastern ghouta as diplomacy stuttered - the enclave was pounded. above them, russian jets with their syrian allies were in action as the russians demanded guarantees that rebel fighters would respect any truce. in eastern ghouta, men from civil defence risked their lives to rescue civilians, even though the buildings could collapse and the planes could come back. in the dust and confusion, these children were separated from their parents. the rescuers ignored the dangers. the eu condemned what it called ""brutal attacks"". diplomacy is supposed to find words and deeds"
1003,2,"[18, 19, 20, 21, 22, 23, 24, 25]","['00:02:21,669', '00:03:18,318']",,"to stop this happening. they were rushed into underground hospitals. it is hard to end a war, or even a battle, with words, especially when one side - in syria, the regime and its allies - believes victory is close. in syria, military power, the capacity to inflict pain and death, sets the pace of events. treating the wounded is twig another is to recreate small pockets of normality, kindness and decency. this girl is 11 years old and, like most people in eastern ghouta, she has been living in a basement. mothers and their children wait and hope. translation: it has been two months since i went to school and saw my friends. we are here in the shelter because of the bombing."
1003,3,"[26, 27, 28, 29, 30, 31, 32, 33]","['00:03:18,318', '00:04:16,600']",Sensitive Subjects,"the rockets and missiles never end. i hope the war will stop so we can go home. among syria's children, only teenagers remember peace. the world has failed a generation. explosion. theeeâ€™mâ€™eï¬ v-relteri f-fer e all. i a member of their family. they ran out of time. in syria, no-one can rest in peace. jeremy bowen, bbc news. one of donald trump's former senior advisers, rick gates, has admitted conspiring against the united states and lying to investigators. for his cooperation on the investigation into russian interference in the us election. a short time ago, peter bowes talked us through the significance of the charges. well, i suppose the charges in themselves are not as significant as the"
1003,4,"[34, 35, 36, 37, 38, 39, 40, 41, 42]","['00:04:16,600', '00:05:17,079']",News,"fact that he has now reached a plea agreement which means in all and any matters associated with the russia investigation and that is what is so crucial about it, because he was at the heart of the donald trump election campaign in 2016 with his long-time colleague paul manafort. they were both there, they were both at the republican convention that year, they were both involved so the question is what does he know, what information does he have that could perhaps incriminate former colleagues and shed some light on whether there was any collusion between the trump campaign and the russians. this isn'tjust about potential meddling between russia and - or at least meddling that would affect the election campaign,"
1003,5,"[43, 44, 45, 46, 47, 48, 49, 50, 51]","['00:05:17,079', '00:06:07,899']",People & Society,"those claims have been made as well, indeed 13 russians last year this goes much deeper. but crucially, peter, so far, no-one has been directly indicted - this is within the trump campaign - directly indicted for collusion with russia. we should just stress that, shouldn't we? yes, that is, and certainly mr manafort strongly denies the allegations against him. and you are right, no-one has been indicted in terms of any potential alleged collusion - at least no-one associated with the trump campaign. but this is an investigation which is ongoing. the special counsel is certainly digging very deep and i think the indictments we have seen over the last few days, and the one against mr manafort, which continues, show that he"
1003,6,"[52, 53, 54, 55, 56, 57, 58, 59]","['00:06:07,899', '00:06:58,150']",,"is leaving no stone unturned in terms of the depths that he will go to get to the heart of the matter. and it can only be a matter of concern to some, perhaps, that, certainly, mr gates is now ,, , will reveal everything that he knows. and he will reveal everything that he knows. president trump has repeated his call for teachers to be armed with guns. pressure is growing for action after the shooting at a school meanwhile, florida's governor wants to restrict the sale of guns. our north america editor jon sopel reports. staff and teachers return to the marjory stoneman douglas school today as a nation continues to grope for explanations of what happened. for others, it's mental health and societal breakdown."
1003,7,"[60, 61, 62, 63, 64, 65, 66, 67]","['00:06:58,149', '00:07:43,160']",Sensitive Subjects,"but today, a new culprit - scot peterson, a deputy sheriff who arrived outside the school 90 seconds after the shooting started, but for whatever reason didn't act. and he's taking a mighty kicking from the president. he was there for five minutes, for five minutes. that was during the entire shooting - he heard it right at the beginning - so he certainly did a poorjob. but that's a case where somebody was outside, they were trained, but they didn't react properly under pressure, or they were a coward. speaking to conservative activists, the president also restated his belief that some teachers should be carrying concealed weapons in school. and the beauty is it's concealed - nobody would ever see it unless"
1003,8,"[68, 69, 70, 71, 72, 73, 74, 75, 76]","['00:07:43,160', '00:08:38,978']",,"they needed it. it's concealed! so this crazy man who walked in wouldn't even know who it is that has it! that's good! that's not bad, that's good! and a teacher would have shot the hell out of him before he knew what happened. cheering and applause. and in florida, the governor has announced a range of measures to tighten security. the goal of this plan of action is to make massive changes in protecting our schools, provide significantly more resources for mental health, and to do everything we can to keep guns out of the hands of those dealing with mental problems or threatening but so far, there have only been sketchy proposals and no class of weapon is being banned. well on the way? well, that might be wishful thinking."
1003,9,"[77, 78, 79, 80, 81, 82, 83, 84]","['00:08:38,979', '00:09:28,349']",Law & Government,"jon sopel, bbc news, washington. well, earlier, ispoke tojim irvine of the buckeye firearms association and taught to deal with attacks. i pointed out that many people are against arming teachers. well, we don't want our kids to keep getting killed. but looking at all the evidence, say, for example, the fbi has compiled so far, they haven't seen any evidence that arming people in these sorts of situations prevents them from happening, or stops the perpetrators from carrying on with what they want to do. i beg to differ. imagine if that coach had a firearm. he was there, he went to the event. we've got these people in every school. all we're talking about is the select people."
