video_id,index,no_list,time,categories,part
1010,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['00:00:00,000', '00:01:07,329']",Arts & Entertainment,a hundred and fifty years ago hardly anyone in Europe had ever seen a living African elephant and then an enormous male arrived his name was jumbo and his story is extraordinary and dramatic he was rumored to be the largest elephant on the planet and his celebrity status took him across the globe millions flocked to see him during his lifetime and it said that he inspired Hollywood movies long after his death but contemporary accounts reveal a troubled life fueled by alcohol with episodes of terrifying violence a near mystical relationship with his keeper and a tragic end that seems hard to believe now I'm going to look beyond Jumbo's celebrity for the real elephant behind the myths how big was he in
1010,1,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","['00:01:07,329', '00:02:37,500']",Pets & Animals,reality and what is the truth behind the mysteries that surround his tragic death with access to Tambor's physical remains those questions can finally be answered and with the help of a team of scientists elephant experts and conservationists I will try to find out how our understanding of elephants has changed since jumpers time this is a story of the world's first animal superstar this is the story of jumbo in 1882 a unique shipment is about to arrive here in one of the busiest ports in the world on board in a massive wooden crate is an animal that has already captured hearts in Britain his name is jumbo and he's now all set to become a superstar the most famous animal in the world
1010,2,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","['00:02:44,789', '00:04:05,330']",Travel,my investigation into Jumbo's life begins of the American Museum of Natural History in New York there are elephant skeletons on display here as in many museums around the world but what I'm looking for lies behind the scenes Jumbos remains were brought here after his death and are still among the most treasured specimens in the collections it's hard to think of a more famous animal than jumbo I mean we have a lot of famous specimens in the museum but it's hard to imagine another specimen that carries with it so much history so much lore and legend all these bans have been kept in the museum's special temperature controlled storage unit for decades unexamined but now they're being brought out for
1010,3,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41]","['00:04:05,330', '00:05:04,009']",Reference,another look at them for the first time in the history the museum has granted access to Jumbo's skeleton for scientific analysis and I'll be joining an international team of researchers as they attempt to answer some of the mysteries that still surround this giant 3 one of the important things about collections and the reason the museum has great collections like this including jumbo is that technologies come about that allow you to relook at these specimens in ways you never imagined before among the team carrying out this first-ever full survey of jumbo is dr. Richard Thomas a researcher of ancient animal bones from the University of Leicester with him is Professor John Hutchinson from the Royal Veterinary College an
1010,4,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]","['00:05:04,009', '00:06:26,980']",,authority on locomotion in large land animals finally dr. Holly Miller from the University of Nottingham who will be analyzing the chemical content of Jumbo's bones tutus about his diet and overall health and this is what remains of jumbo there are of course hundreds if not thousands of elephant skeletons in museums around the world so why should this particular one be of special interest well when jumbo was alive many people believed that he was the biggest living land animal on earth certainly the biggest that anyone had ever seen 20 million people came to see him and after his death many continued to do so but many mysteries remain exactly how big was he and why did he have terrible fits of rage and violence during the night
1010,5,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","['00:06:26,980', '00:10:13,720']",Hobbies & Leisure,that led him to demolish the cages in which he was kept and above all how did he die even that is still a mystery while the scientists across the Atlantic begin their study of Jumbo's bones I am looking through the archives of the London Zoo to try and trace his story from Africa to Britain and ultimately to America this register records every important event at the London Zoo and the entry for June 26th 1865 notes the arrival of one African elephant it was called jumbo the name in Swahili means hello today because of this elephant the word jumbo has come to mean something that's extremely large but in fact jumbo didn't arrive as a giant far from it the first image of him here is as a small orphan so how did he get here during the 19th century new zoos across Europe and North America were looking for spectacular exhibits that would attract visitors elephants were an obvious choice the first to appear were Asian elephants they are found in India eastwards to Southeast Asia and as far as the visitors to the London Zoo in Victorian times were concerned they were the biggest animals they had ever seen but African elephants are much bigger in fact they are the largest living land animals on the planet and unlike Asian elephants they have hardly ever been domesticated they were once widespread across the continent and records suggest the Jumbo had been captured somewhere in the Northeast a nineteenth-century traveller exploring the Sudan has left an account of the brutal way in which the local people hunted elephants they would find a mother and a calf chased them until they were both exhausted and then spear the mother for death and take the baby so young Jambo almost certainly would have witnessed the death of his mother hunting is still a huge problem in Africa adults are killed for their ivory tusks and they often leave behind young Wasson's motherless babies just like young jumbo as the first of his kind and a British zoo jumbo was bound to attract a lot of attention but his arrival happened to coincide with a relatively new technique called photography and that would help to immortalize him
1010,6,"[82, 83, 84, 85, 86, 87, 88, 89, 90]","['00:10:14,950', '00:11:21,110']",Arts & Entertainment,throughout this rich visual record of Jumbo's life the image of one man occurs again and again and again he was a man whose life became totally bound up with Jumbo's his name was Matthew Scott Jumbo's keeper Scott was known to be a difficult man with no close friends and he was no expert on elephants but he did have a deep empathy for animals of all kinds within hours of meeting man and beast had bonded and unusually for a working man at the time Scott wrote an account an autobiography of his life with John Bell this is it there'd been lots of books written about jumbo but this is by far the most touching and firsthand here's Scott describing his first meeting with jumbo I thought I
1010,7,"[91, 92, 93, 94, 95, 96, 97, 98, 99]","['00:11:21,110', '00:12:19,850']",Pets & Animals,never saw a creature so whoa be gone the poor thing was full of disease which had worked its way through the animals hide and had almost eaten out its eyes Scott now set out on his mission to raise the young elephant it was the beginning of a truly remarkable really the Scot had never cared for a young elephant before and it must have seemed a daunting task the David Sheldrick Wildlife Trust in Kenya knows exactly how difficult it is head keeper Edwin dos Ichi like Scott is caring for a new orphan who has just arrived his elephant close to me is called my Sierra he was rescued from the Masai Mara he was found stuck in the mud when he was only about 2 month old and he seems
1010,8,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]","['00:12:19,850', '00:13:35,139']",,to have stayed there for quite some time because he was very skinny very thin and very weak a sign that he had been with all the mother for quite some time and we hope for the best for him Moo Sierra is so traumatized by his experience a keeper will have to stay by his side 24 hours a day there's no quick easy fix when raising orphaned elephants I mean you're in for the long term so I'm arrived in perfectly good shape but the majority have had a dramatic story before they get to us the first step is straightforward physical care but they need more than that elephants are highly social Monsieur ah like jumbo needs what he would have received from his elephant family constant company touching and love they
1010,9,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]","['00:13:35,139', '00:14:41,679']",People & Society,need that emotional support elephants are all about love and family and that is what our orphans have been robbed off and one has to very very quickly plug that gap and it really is the keepers at this early stage where that strong bond is formed matthew scott's autobiography makes it clear that he instinctively gave jumbo the emotional support he needed i undertook to be his doctor his nurse and general servant i watched a nursed him nice and day with all the care and affection of a mother if it were possible for a man to do such a thing his approach clearly worked because six months later john bell looked like a different elephant and could at last be displayed to the public by the time he
