video_id,index,no_list,time,categories,part
1002,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['00:00:05,969', '00:01:28,060']","[['/News/Politics', 0.550000011920929]]","this is bbc news. our top stories: a new trade threat from donald trump. tariffs on european cars if the eu retaliates over steel. syrian government forces advance into the besieged enclave of ghouta. 100 people are reported killed in the past week. video assisted referees are cleared for international football. they could be used in this summer's world cup. and will theyjoin germany's next government? social democrats add up the votes. president trump has stepped up his war of words on trade tariffs, suggesting he would ""apply a tax"" on imports of cars from the european union. it comes two days after he promised hefty tariffs on steel and aluminium imports. in a tweet, he said other countries had taken advantage of the us for years. andrew plant reports. the white hot glow of steel. this multibillion-dollar global industry has sparked heated threats of trade tariffs and friction between the us and europe. it's disgraceful."
1002,1,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","['00:01:28,060', '00:02:54,238']","[['/News/Politics', 0.7300000190734863]]","and when it comes to a time when our country... on thursday, donald trump announced plans to levy a 25% tax on steel imports and 10% on aluminium. the current deals, he said, bad for the usa economy. european commission president jean-claude juncker said the eu could retaliate in kind with tariffs of its own on things the us sells to europe. we buy more steel from the united states than any other country... canada, too, opposed the idea, justin trudeau urging mr trump to reconsider. ..would be significant and serious. now donald trump has hit back, threatening to increase tax on imported european cars. america, the eu's biggest car market. in a tweet, he said: as yet, there's been no retaliatory response, the press secretary simply saying that no-one should be surprised at mr trump's announcements. mr trump says other countries have taken advantage of the us for years because of what he called ""very stupid"" trade deals. it's the latest salvo in a war of words over"
1002,2,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","['00:02:54,239', '00:03:48,129']","[['/Business & Industrial', 0.7300000190734863], ['/News/Politics', 0.5]]","trade tariffs - as our north america correspondent, chris buckler, explains. yes, the threat of new tariffs has fuelled fears of a trade war but you are right in saying that the war of words is well under way. countries had already threatened retaliatory action as a result of president trump's announcement that he was preparing to put 25% tariffs on steel and and 10% on aluminium being imported into america. and probably one of the most memorable warnings came from the european commission presidentjean-claude juncker, who said that they would tax the most american of products, including bourbon and bluejeans. while it is clear that president trump was listening and today he bit back, it probably will not come as a surprise to anyone that he responded on twitter, saying that he was prepared to tax cars coming into the us from europe and it will cause concern across the atlantic because the european car manufacturers’"
1002,3,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","['00:03:48,128', '00:04:50,300']","[['/Business & Industrial', 0.550000011920929]]","biggest export market is the us. however, there are many inside the white house who are urging caution because they believe that no-one really benefits from this kind of tit-for-tat trade war. syrian government forces have gained more ground in their assault on the last major rebel-held enclave near damascus. one monitoring group says they now control 10% of eastern ghouta. disturbing footage has emerged, showing aid workers carrying an injured man into a van, being targeted in an air-strike, but then managing to escape. from neighbouring lebanon, yolande knell reports. after days of air strikes and shelling, fighting on the ground in eastern ghouta has recently intensified, and the uk-based monitoring group the syrian observatory for human rights says that government forces have now recaptured two areas of the east and south-east of the besieged enclave, where an estimated 400,000 people are trapped. rebels, in turn,"
1002,4,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]","['00:04:50,300', '00:06:05,430']","[['/Sensitive Subjects', 0.9700000286102295]]","shelled damascus. more than 100 civilians are reported to have been killed in eastern ghouta since the united nations security council called for a ceasefire one week ago. shouting. on another front in the many-sided syrian war, turkey says it has captured a kurdish town in the northern region of afrin. at least 36 pro-syrian government troops sent to support kurdish forces are reported to have been killed by a turkish air strike. six weeks ago, turkey launched a military offensive in the area to clear it of kurdish militia, which it sees as terrorists. our middle east correspondent yolande knell reporting. let's take a look at some of the other stories making the news. an extremist group affiliated to al-qaeda in mali says it carried out the two deadly bombings on friday in burkina faso’s capital, ouagadougou. eight members of the security forces were killed and more than 80 people were wounded in the attacks on the army headquarters and french embassy."
1002,5,"[57, 58, 59, 60, 61, 62, 63, 64, 65, 66]","['00:06:05,430', '00:07:02,750']","[['/Sensitive Subjects', 0.8600000143051147]]","the prime minister paul kaba thieba has visited the scene and described it as ""post-apocalyptic"". the funeral has taken place in slovakia of the murdered investigative journalist, jan kuciak. hundreds of mourners attended the ceremony in the village of stiavnik, a day after the burial of his fiancee, who was shot dead at the same time. mr kuciak’s last article focused on alleged ties between the italian mafia and government officials. the us secret service says a man has shot and killed himself outside the white house in washington. no-one else was injured in the incident, which triggered a big security alert. president trump was at his estate in florida when the shooting happened. in one of the biggest shake-ups in football for years, it appears the world cup in russia will use video technology, to assist referees. the system, known as var, lets referees review controversial"
1002,6,"[67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]","['00:07:02,750', '00:08:12,110']","[['/Sports/Team Sports/Soccer', 0.7799999713897705]]","incidents such as disputed goals or penalties. the body which sets the rules for world football has voted to approve it after a series of top-level trials, even though some of the decisions have proved controversial. here's our sports news reporter richard conway. from diego maradona's hand of god to injustice in the biggest games. football has long opposed technology to help officials make the important decisions. but after an historic vote all that has changed. video assisted referees or var as it's known, finally given the go-ahead. var is good for football. it's good for refereeing. it brings more fairness in the game. and, for these reasons, we have decided to approve. var will be used to correct errors relating to goals, penalties, straight red cards and mistaken identity. nearly 1000 games have formed part of the two year var experiment. tottenham's match against rochdale last week was included in the trial"
1002,7,"[79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","['00:08:12,110', '00:09:01,599']","[['/Sports/Team Sports/Soccer', 0.7099999785423279], ['/News/Sports News', 0.6700000166893005]]","but was criticised given lengthy delays while the referee reviewed incidents, leading to claims technology is killing the atmosphere and pace of the match. but one of the architects of the new system told me there's evidence that video assistance is working. on sort of clear error situations, clear situations, the accuracy of the referee's decisions went from initially 93% up to around 99%. of course there are grey areas where an incident could be a penalty, could not be a penalty, and they will always remain grey areas. var will almost certainly now be used at this summer's world cup. however, several premier league clubs are said to be more cautious and may opt to delay its implementation with football's lawmakers admitting there's still work to be done. i think the communication with the crowd, the speeding up of reviews, the flow of the game, the spectator-spectacle, i think"
1002,8,"[89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","['00:09:01,600', '00:10:07,439']","[['/Sports/Team Sports', 0.5199999809265137]]","has all got to be worked on, but we've also got to have the confidence to sell it to people. it is a change but it's actually a small change to make a big difference. football's leaders want to eliminate game-changing mistakes, but as the experiments have shown, anyone who thinks technology will stop controversy may want to think again. richard conway, bbc news. dr kristen wells is a sports psychologist who's worked with women professional golfers and in minor league baseball. i asked her how she thinks var technology in football will change the game. well, it depends on the player and it depends on, in whose favour the call goes toward. so the team that the call is in favour of will certainly always be happy. the team that the call goes against will not be so happy. the issue is the momentum. and, you know, if a team is in the zone and suddenly, we are going to go to instant replay - or var, as it is called - then you lose that momentum. but, again, if the call goes"
1002,9,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]","['00:10:07,438', '00:11:11,810']","[['/Sports/Team Sports', 0.8199999928474426]]","in favour of the team, the momentum lost isn't going to be such a big deal. for the other team, however, it could actually then be an even further detriment to them. but in terms of momentum, if you take, say, rugby union- i don't know whether you know how it works, being american - forgive me - but with rugby union, they're used to having a video assistant referee and it is just part of the game, theyjust get on with it. right. well, and here in the states, if you look at american football, it is not such a big deal because it has been around for so - it's been around for decades. major league baseball had just implemented it and so, you know, they have been fortunate, they got to learn from american football. and so, it - the implementation of it wasn't - hasn't been so bad, or at least from the perspective of players and officials and all, it has not been a bad thing at all. it takes time. fans will have to get used to it, players"
1002,10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121]","['00:11:11,809', '00:12:19,209']",[],"will have to get used to it, and certainly, officials will get used to it, but overall, it is probably a good thing. what does this do for the way that the game is perceived because people say that basically, if you get rid of human error, then there will be nothing to talk about. but i'm not so sure fans who are on the losing side agree with that! i think there's always going to be human error and, you know, it is... do you lose a little bit of the human aspect to it? probably so. is that a good thing? probably not. from a psychological perspective, you know, i personally would say i would hate to see you lose the human piece of it. but if you look at the benefits of using it, so say, for example, officials - we know research was done and what they found was that with video replay, they went from 93% accuracy up to 98%, almost 99%, and how can you complain about that? i mean, 93% is brilliant."
1002,11,"[122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132]","['00:12:19,208', '00:13:12,049']","[['/Sensitive Subjects', 0.6100000143051147]]","i mean - but the thing is, if you ask a football fan that would probably say that referees were always getting the calls wrong, not realising that actually, they are doing a good job. the funeral has taken place of the murdered slovakian journalist, jan kuciak. his fiancee martina kusnirova, who was also shot dead, was buried on friday. he'd been investigating alleged ties between the italian mafia and slovak government officials. it's heightened tensions within slovakia's coalition government, with interior minister robert kalinak refusing to resign over the issue. russell trott reports. in the eastern border, jan kuciak elite hundreds of mourners who had arrived from across slovakia for his burial. just 27 he was shot dead last week, along with his fiancee, martina kusnirova, he was buried a day earlier. her parents were also in attendance. there were two months away from their wedding day. she'd been buried"
1002,12,"[133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143]","['00:13:12,048', '00:14:18,359']","[['/Sensitive Subjects', 0.8399999737739563]]","in her wedding dress. the murders have shocked this small central european country. there have been protests in 25 cities, with many venting their frustration at the prime minister and his government, accusing it with links to organised crime. he has denied any wrongdoing. jan kuciak’s last article focused on alleged ties between the italian mafia and officials. seven people questioned by police have since been released. the government has offered a reward ofi million euros to find those responsible. he has vowed his government would protect freedom of speech and the safety of journalists. this is the first killing of a journalist in slovakia's street. jan kuciak’s collea g u es slovakia's street. jan kuciak’s colleagues fear it may not be the last. stay with us on bbc news, still to come: could the techniques of ancient mayans save guatemala from the curse of plastic? weavers work to end the"
1002,13,"[144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154]","['00:14:18,359', '00:15:33,698']","[['/People & Society', 0.6100000143051147]]","country's waste problem. first, the plates slipped gently off the restaurant tables, then suddenly the tables, the chairs and people crashed sideways and downwards, and it was just a matter of seconds as the ferry lurched on to her side. the hydrogen bomb. on a remote pacific atoll, the americans have successfully tested a weapon whose explosive force dwarfed that of the bomb dropped on hiroshima. i heard the news earlier and so my heart went bang, bang! the constitutional rights of these marchers are their rights as citizens of the united states, and they should be protected, even in the right to test them out, so they don't get their heads broken and are sent to hospital. this religious controversy, i know you don't want to say too much about it, but does it worry you that it's going to boil up when you get to the states? well, it worries me, yes, but i hope everything will be all right in the end, as they say."
1002,14,"[155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165]","['00:15:33,698', '00:16:31,258']","[['/News/Politics', 0.9100000262260437]]","this is bbc news. the latest headlines: president trump has threatened to impose more tariffs on imported goods. he's tweeted that if the eu increases barriers for american companies, then the us will apply a tax on eu cars. a british-based monitoring group says pro-government forces in syria have recaptured about 10% of the rebel-held enclave of eastern ghouta outside damascus. votes are being counted in germany after a poll of members of the social democrats on whether the party should join a grand coalition. officials say participation has been very high. chancellor angela merkel’s christian democrat union has already voted in favour. if the social democrats also approve, it will end the five months of political deadlock which have followed september's vote. the result will be announced in a few hours time, as the bbc’s tim allman reports. never in the history of german politics has so much attention"
1002,15,"[166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176]","['00:16:31,259', '00:17:36,209']",[],"been devoted to the contents of one rather unremarkable lorry. on board, hundreds of thousands of ballot papers that, one way or another, will decide the immediate future of the nation. keeping an eye on proceedings, the social democrats' acting chairman olaf scholz and the party's leader in the bundestag, andrea nahles, both nervously awaiting the verdict of their membership. translation: we already know there was a high level of participation, so we hope we can lay a good foundation for the renewal of the spd and, at the same time, assess the implications of the result once we have it. angela merkel’s party has already voted to renew the grand coalition, hoping to end nearly five months of deadlock. translation: it's up to us to have the will to shape our country. it's up to us to make these difficult times a success. and it is up to us to find answers for our party. i hope we can succeed together and"
