video_id,index,no_list,time,categories,part
1000,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","['00:00:07,719', '00:00:42,210']","[['/News', 0.7799999713897705]]",this is the briefing. i'm sally bundock. our top stories: president trump says he wants to ban bump-stock devices that turn rifles into rapid-fire weapons. is that enough for survivors of the florida school shooting? controlling the nile - at a cost. concerns that africa's biggest hydroelectric dam could provoke a regional conflict. no thaw in relations between the us and north korea. washington says pyongyang pulled out of high level talks in seoul at the last minute.
1000,1,"[10, 11, 12, 13, 14, 15, 16, 17, 18]","['00:00:42,210', '00:01:34,980']",[],"and a front row seat at london fashion week. the queen makes a surprise appearance. in business briefing, south korea signs trade deals with central american countries - but can they offer a back door into the us as tensions grow between the two? plus the pressure intensifies on prime minister may as she faces a fresh outcry from more than sixty mp’s in her party demanding a hard brexit - we'll have the latest. a warm welcome to the programme, briefing you on all you need to know in global news,"
1000,2,"[19, 20, 21, 22, 23, 24, 25, 26]","['00:01:34,980', '00:02:15,438']",[],"business, and sport. and you can be part of the conversation. after the queen stole the show at london fashion week and presented her new award for emerging british designers, we're asking you - how would you encourage young talent? do tell us what you think. just use the hashtag #bbcthebriefing. so let's it started. -- get. apparently in response to a growing gun control campaign by high school students, president"
1000,3,"[27, 28, 29, 30, 31, 32, 33, 34, 35]","['00:02:15,438', '00:02:53,879']","[['/News/Politics', 0.8899999856948853], ['/Sensitive Subjects', 0.5600000023841858]]","trump has expressed his willingness to ban the so-called ""bump stock"" mechanism, which turns a rifle into something very close to a machine gun. bump stocks allow a rifle to shoot in almost automatic bursts, and were used by the gunman who shot dead 58 people in las vegas in october. laura westbrook reports. they are mobilised and organised, and they are demanding lawmakers in their state of florida take action on gun control. 3000 kids in one school? that's a big family enough."
1000,4,"[36, 37, 38, 39, 40, 41, 42, 43, 44]","['00:02:53,879', '00:03:32,769']","[['/Sensitive Subjects', 0.7799999713897705]]","and having a lot of the nation coming and supporting us, too, that's what is changing. like we're able to have that voice, and we're able to be heard. the president says he is listening. i signed a memorandum directing the attorney general to propose regulations to ban all devices that turn legal weapons into machine-guns. i expect that these critical regulations will be finalised very soon. so-called ""bump stocks"" allow semiautomatic guns to be modified to fire hundreds of rounds every minute."
1000,5,"[45, 46, 47, 48, 49, 50, 51, 52]","['00:03:32,770', '00:04:07,729']",[],"the devices were used by the man who killed 58 people in las vegas last september. -- 0ctober. chanting: enough is enough! it's a sign that the president is feeling the pressure from these young voices. here he is, a year ago, at a rally hosted by the national rifle association. they gave millions of dollars towards the trump campaign. so let me make a simple promise to every one of the freedom-loving americans in the audience today."
1000,6,"[53, 54, 55, 56, 57, 58, 59]","['00:04:07,729', '00:04:47,478']","[['/Sensitive Subjects', 0.9300000071525574], ['/Law & Government', 0.5]]","as your president, i will never, ever infringe on the right of people to keep and bear arms. never ever. it remains to be seen if congress will push through any new legislation. so far, the nra have successfully resisted every move to tighten gun controls. but the children who are targets of school shootings are hoping they can make it harderfor this kind of tragedy to happen again. another funeral was held for 15-year-old peter wang. he was killed while trying to help others"
1000,7,"[60, 61, 62, 63, 64, 65, 66, 67, 68]","['00:04:47,478', '00:05:29,949']",[],"escape, and honoured by being posthumously accepted into his dream school, the westpoint academy. laura westbrook, bbc news. many of you have already messaged and said that you do not think that is enough. the united nations in syria says it's deeply worried for hundreds of thousands of people trapped under a mounting government bombardment of the rebel-held enclave of eastern ghouta. the un said it feared a second aleppo, the syrian city recaptured in a government offensive in 2016."
1000,8,"[69, 70, 71, 72, 73, 74, 75, 76]","['00:05:29,949', '00:06:14,989']","[['/Sensitive Subjects', 0.949999988079071]]","activists said at least 250 people had been killed in eastern ghouta since sunday night, the highest 48-hour total in the syrian conflict since 2013. the drones target the areas here, and target the civilians, and the crowded neighbourhood. they want to kill iran here. -- everyone. the project to build africa's biggest hydroelectric dam on the river nile is threatening to provoke a major conflict between some of the countries affected."
1000,9,"[77, 78, 79, 80, 81, 82, 83]","['00:06:14,990', '00:06:52,169']","[['/News', 0.6499999761581421], ['/Business & Industrial', 0.550000011920929]]",the dam is being build by ethiopia and sudan says it welcomes the prospect of cheaper power and the ability to reduce flooding in its vast irrigation projects. but the egyptians are deeply unhappy fearing the flow through the aswan dam and on to cairo will be weakened in a country already facing serious water shortages. 0ur africa correspondent alastair leithead has travelled to all three countries and he sent this special report. the river nile is the world's lammas river.
1000,10,"[84, 85, 86, 87, 88, 89, 90, 91]","['00:06:52,168', '00:07:28,038']","[['/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy', 0.7599999904632568]]","but these are turbulent times between three countries that share it's like bringing water. the source is this. five years in and to those built, this multi- billion-dollar dam can already control the flow of the nile, and that is what is upsetting downstream egypt. when it is finished, this will be the largest hydroelectric power station in africa. in one of the biggest dams on the continent. it will not just power this country but the surrounding countries as well."
