video_id,index,no_list,time,categories,part
1009,0,"[1, 2, 3, 4, 5, 6]","['00:00:05,269', '00:00:52,408']",[],It's one of the world's greatest engineering wonders the great wall of China They say it can even be seen from space It's a military masterpiece that has witnessed hundreds of backwards yet it still holds many mysteries British writer and Historian William Lindsay has lived in China for 20 years exploring the great [wall] has become his lifetime obsession Lindsay has spent thousands of days on has walked thousands of kilometers [and] Is the great [war] really how many years did it take to build?
1009,1,"[7, 8, 9, 10, 11, 12]","['00:00:53,689', '00:01:53,219']","[['/Business & Industrial', 0.5400000214576721]]",And why was it built to talk crap on [salary] or Roll to your quarters? It's only a short trip from beijing to one of China's most popular attractions Millions of tourists come here every year to see the stone dragon the great wall of China Most of the people walking on the great war here today will go home and say I've been to the great wall of China But the great [wall] is not a place it ranges across the sub-continental expanse of [North] China And along its course
1009,2,"[13, 14, 15, 16, 17, 18, 19]","['00:01:53,349', '00:02:26,348']",[],many of the locations seldom visited And some virtually unknown in 1987 [busy] fulfilled his childhood dream He walked on the Chinese war two thousand seven hundred kilometers Only a few pictures remain from this adventure because his films were repeatedly confiscated foreigners were barred from many parts of China Those times have long changed China has opened up to the world and an adventure has turned into a scholar
1009,3,"[20, 21, 22, 23, 24, 25, 26, 27, 28]","['00:02:27,229', '00:03:08,709']",[],"[Lindsay] now seeks out traces of the [great] [wall] of [China] right across the country 23 years after his first trip he sets off again during the same exploring 23 years later is really a testament to the immensity of What we call the [great] [wall] of [China] [will] be [our] [hearts] in the last two-and-a-half decades. I explored the warm or 1700 days [I've] discovered. It's the world's most famous building, but the least-known there's always something new to discover there is"
1009,4,"[29, 30, 31, 32, 33, 34, 35]","['00:03:11,120', '00:03:47,260']",[],"there is no single great warm there are lots of words in Northern China built by different dynasties for more than 2,000 years William Lindsey is taking us to one of the most remote places 2300 Kilometer Drive, West of Beijing to the City of doing one into the Gobi desert [clearly] that 75 miles Northwest of don't want And it's a nice sunny day in the gobi doesn't perfect conditions for exploring the great wall"
1009,5,"[36, 37, 38, 39, 40, 41, 42]","['00:03:51,530', '00:04:35,850']","[['/Arts & Entertainment', 0.5099999904632568]]","In the shimmering heat the dark Ribbon along the Horizon at first looks like a mirage, but these really are the remains of a war literally in the middle of nowhere Well one of the most precious parts of the [great] [wall] of [China]. This is the hand war hell 2100 years ago And [I'm] not the first traffic to come here. This is the silk Road So merchants would come from the deserts in Central, Asia entering [China] at this point and then Proceed East to the Heartland of [China]"
1009,6,"[43, 44, 45, 46, 47, 48, 49, 50]","['00:04:37,810', '00:05:20,430']",[],"So it's going to take a closer look Built over 2,000 years ago this wall looks completely different to the familiar Great [warley] efficient. It's not built of stone But this construction material has kept its strong for Millennia read and gravel But who [is] this war meant to protect so far from Civilization? the Han Dynasty Rulers wanted to open Their empire to trade with the West So they secured control of the eastern end of what became known as the silk Road? the Han Chinese"
1009,7,"[51, 52, 53, 54, 55, 56]","['00:05:20,430', '00:06:03,528']",[],"occupied the vital [if] [she] colony That runs along the road between them more than steps and the [himalayan] hotels It's a real border not just between peoples, but between lifestyle the Nomads of the Step vignettes traditional round tent They live entirely from their livestock [wandering] over the step they pitch there. Yes, wherever they find grazing land for their herds after enduring long hard winters in the steps these nomadic warriors ransacked China's Northern provinces"
1009,8,"[57, 58, 59, 60, 61, 62]","['00:06:05,639', '00:06:43,040']",[],Year after year they killed [road] stealing food and metals everything their lifestyle prevents the producing The Chinese regarded their empire as the cradle of civilization According to their confusion philosophy it was the cultural center of the world Appeasing the Barbarians along the water by trading is out of the question [all] was too expensive so the harm emperor decided to build a war How many people were involved in the construction of the harm or no one knows for sure?
1009,9,"[63, 64, 65, 66, 67, 68]","['00:06:43,800', '00:07:16,608']","[['/Reference', 0.6499999761581421]]",Reliable sources quote the calculations presented to the emperor If one soldier can build three [places] of war in one month than 300 and build three [leap] about one-and-a-Half kilometres That means a thousand Li were about [500] [30] kilometers would take a hundred thousand men one month to complete So far so good and so many Most of the soldiers were stationed at the towers the towers had a dual use that made the most effective defense
