video_id,index,no_list,time,categories,part
1008,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['00:00:00,440', '00:00:46,909']","[['/Food & Drink/Food', 0.5099999904632568]]","VOICES: There are some companies that slaughter thousands of animals. Because it is much more expensive to produce beef without hormones. Consumer's buy with their eyes. Can't buy an orange that's unpeeled. JOANNE FARYON (Host): Hello everyone. I'm Joanne Faryon. Welcome to this Envision San Diego special ""Food."" It's something we take for granted. After all, California is the largest supplier of food for the country. Grocery store aisles are stocked with just about anything we care to buy."
1008,1,"[11, 12, 13, 14, 15, 16, 17]","['00:00:46,909', '00:01:21,769']","[['/Food & Drink/Food/Meat & Seafood', 0.9399999976158142]]","Chicken for less than a dollar a pound, steaks the size of a dinner plate, every species of fish and fruit and vegetables no matter the season. It may seem as though the cost of these groceries continue to rise, but we actually spend less money on our food then we did a couple generations ago. Just how all of this food makes its way to the grocery store and your dinner plate is the subject of tonight's investigation. We'll also tell you why it's relatively cheap to buy beef, chicken even fish."
1008,2,"[18, 19, 20, 21, 22, 23, 24, 25]","['00:01:21,769', '00:02:08,650']",[],"Some of it you may not want to know, but at the end of the program we hope you walk away a better informed consumer. 40 million pounds of San Diego oranges are on their way to countries as far away as China. 13,000 head of cattle are being fattened in Imperial Valley. One in five will be slaughtered for sale in Japan, the others distributed across the country. In Mission Bay, scientists are trying to figure out what to feed farmed fish. Those cattle you just saw, well, they could be on the menu."
1008,3,"[26, 27, 28, 29, 30, 31, 32, 33]","['00:02:08,650', '00:02:43,190']","[['/Food & Drink/Food', 0.6700000166893005]]","The food chain doesn't look like it use to. Fish no longer eat fish, cattle eat corn even though it can make them sick, chickens eat fish and fish are eating cows. Even chicken feathers become food. We grow oranges but send them away because they're too hard for us to peel; the ones we eat come from Australia. Just how did it get to be this way, and is it good for us? Tonight we look at the food we eat from the dinner plate to the farm, field and ocean."
1008,4,"[34, 35, 36, 37, 38, 39, 40, 41]","['00:02:43,189', '00:03:27,460']","[['/Food & Drink', 0.800000011920929]]","And how our demand for cheap food and more food has altered the food chain. A food chain that is motivated by making the greatest amount of food for the cheapest cost, in other words, efficiency. Americans consume nearly 20 percent of all the beef in the world but only make up about 5 percent of the world's population. In 2008, the U.S. slaughtered more than 34 million cattle, slightly more than the year before. So we followed the chain."
1008,5,"[42, 43, 44, 45, 46, 47]","['00:03:27,460', '00:04:11,250']","[['/Business & Industrial/Agriculture & Forestry/Livestock', 0.6800000071525574]]","And what we found was a fast-growing, corn-fed, hormone and antibiotic-injected animal that likely traveled thousands of miles before it ended up at your table. And most of the 1.4 million dairy cows are also destined for your table as hamburger. Let's start at the beginning. In southern California, most cattle start out like this, eating grass on a pasture. JIM DAVIS (President SD Imperial Valley Cattleman's Association): In the '40s and '50s"
1008,6,"[48, 49, 50, 51, 52, 53, 54, 55]","['00:04:11,250', '00:04:42,780']","[['/Business & Industrial/Agriculture & Forestry/Livestock', 0.8500000238418579]]","when my grandfather was running cattle here he would basically sell his cattle as two or three-year-olds that would both be taken to market here in San Diego County and then distributed here in San Diego County. FARYON: It doesn't work that way anymore. Now, cattle are raised on grass for six months, then sold at auction to another rancher usually out of state. We don't have enough grass or rain to feed all our cattle year-round. Once they're sold they'll live another six months on grass."
1008,7,"[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]","['00:04:42,779', '00:05:21,540']","[['/Business & Industrial/Agriculture & Forestry/Livestock', 0.6899999976158142]]","They'll be sold again. This time they go to a feedlot. Large pens where cattle are sent to be fattened before they're slaughtered. This one in Imperial Valley houses 13,000 animals. It's considered small. Some are home to more than 100,000 animals. Cattle spend four or five months here. They're fed mostly corn. The U.S. introduced cattle into feedlots and corn into their diets after World War II. Both had a dramatic effect. The animals grew faster and fatter."
1008,8,"[67, 68, 69, 70, 71, 72, 73]","['00:05:21,540', '00:05:46,620']",[],Broc Sandelin is an animal sciences professor at Cal Poly Pomona and a third generation cattle rancher. FARYON: Is there any research that says they have a tough time digesting corn? BROC SANDELIN: I'm not familiar with any I'm not a nutritionist so I don't really know for sure but I'm sure you could find something or I could find something for you. FARYON: Is it easier for them to digest grass rather then corn? SANDELIN: Yeah that's what they're naturally raised on is grass.
1008,9,"[74, 75, 76, 77, 78, 79, 80, 81]","['00:05:46,620', '00:06:16,750']","[['/Business & Industrial/Agriculture & Forestry', 0.6299999952316284]]","FARYON: Studies have suggested corn-fed cattle may harbor more virulent strains of E. coli then grass fed beef, although a new study out of Kansas State University is now challenging that assertion. Feedlots have also led to wider use of antibiotics. And almost all the beef you buy in the grocery store comes from cattle injected with hormones. BILL BRANDENBERG: It is much more expensive to produce beef without hormones. FARYON: Corn makes cattle fat. Hormones give them more lean muscle tissue."
1008,10,"[82, 83, 84, 85, 86, 87]","['00:06:16,750', '00:06:42,350']","[['/Business & Industrial/Agriculture & Forestry', 0.5099999904632568]]","Bill Brandenberg says the cattle can grow 10 percent bigger with hormones. BRANDENBERG: And without hormones the cattle is going to have a lot more fat in them and they're going to produce a lot more of those upper grades of beef. FARYON: Don't they have more fat in them because we're feeding them corn? BRANDENBERG: It's a combination of the corn and the fact that what the hormones actually do, the animal produces different ratios of estrogen and testosterone."
1008,11,"[88, 89, 90, 91, 92, 93, 94, 95]","['00:06:42,350', '00:07:13,910']",[],"The hormone doesn't actually go into the bloodstream per se but it causes the animal to produce its own different level so it maximizes the production of lean and minimizes the production of fat. FARYON: But if we didn't feed them corn, isn't it the corn fed that give them the fat? BRANDENBERG: Yes. FARYON: So if we didn't feed them corn they wouldn't necessarily need the hormones to make less fat? BRANDENBERG: Well you could do them grass fed without implants,Â you'd have a product too"
1008,12,"[96, 97, 98, 99, 100, 101, 102]","['00:07:13,910', '00:07:42,469']","[['/Food & Drink', 0.8100000023841858]]",but it wouldn't taste near as good as corn-fed beef. That's what the consumer in the United States like is the flavor that goes along with tenderness that goes along with corn fed. FARYON: American beef is banned in Europe because of the use of hormones. Shelton Murinda is an animal sciences professor at Cal Poly Pomona. SHELTON MURINDA: The Europeans were using what I would call the precautionary principal which simply indicates when there is not enough scientific evidence it is better
1008,13,"[103, 104, 105, 106, 107, 108, 109, 110, 111]","['00:07:42,470', '00:08:15,360']",[],"to be on the safe side. FARYON: Isn't it? MURINDA: It is always better to be on the safe side when you do not have sufficient scientific evidence. FARYON: Well then why do we still use hormones in beef in the United States? MURINDA:The situation is rather different here. There are pros and cons that have been thrown about. Some of them what I indicated: the potential side affects. From as far as I know, there has not been enough risk assessment that has been done"
1008,14,"[112, 113, 114, 115, 116, 117, 118, 119]","['00:08:15,360', '00:08:47,000']","[['/Health', 0.5899999737739563]]","with relevance to the side effects of those hormones with respect to the human population. Not enough research has been to gather that sort of information so there has been no risk assessment that has been done. FARYON: So why not go on the side of caution like the Europeans? MURINDA: We'd rather think differently here. We'd rather think differently. FARYON: So will any of these cattle end up on your plate? MURINDA: The chances of getting beef that's from California is rather slim in other words,"
1008,15,"[120, 121, 122, 123, 124, 125, 126, 127, 128]","['00:08:47,000', '00:09:21,470']",[],"most of it comes from outside California. FARYON: The average American eats about 17 pounds of fish per year. Half the fish we eat is farmed fish. That means the fish was born, raised and fed in a net not far off the coast. We wanted to know whether farmed fish was as healthy as wild-caught fish. The answer? It all depends on what farmed fish eat. And just wait until you hear what we're feeding them. DON KENT: I grew up in San Diego when San Diego was the tuna capitol of the world you do"
1008,16,"[129, 130, 131, 132, 133, 134, 135]","['00:09:21,470', '00:09:52,889']",[],"down to the embarcadero and tuna sainers were tied up next to each other three deep at the embarcadero and that's gone now. FARYON: Don Kent is President of Hubbs-Seaworld research Institute. Here they're developing new ways to farm fish, from the hatchery and now to your table. Hubbs-Seaworld wants to establish the largest fish farm off U.S. coastal waters five miles west of Mission Bay. Kent sees it as a boon to the local economy and a way to take pressure of depleting fish stocks."
1008,17,"[136, 137, 138, 139, 140, 141, 142, 143]","['00:09:52,889', '00:10:25,309']","[['/Business & Industrial/Agriculture & Forestry', 0.6700000166893005]]","The debate over fish farming has traditionally been about how to do it in a way that doesn't contaminate local waters. Hubbs believes by establishing nets five miles off the coast where the water is deep and the current swift, it can minimize contamination concerns. But there's another issue. Fish also eat other fish. If farmed fish are fed fish, the practice could deplete dwindling stocks. So the challenge is to find other sources of fish food and fish oil to feed farmed fish."
