video_id,index,no_list,time,categories,part
1004,0,"[1, 2, 3, 4, 5]","['00:00:05,330', '00:00:32,419']","[['/Arts & Entertainment/TV & Video', 0.8700000047683716], ['/News', 0.6600000262260437]]","welcome to bbc news, broadcasting to viewers in north america and around the globe. my name is nkem ifejika. our top stories: tough words for some us leaders. students from the school targeted in a mass shooting demand tighter gun controls. if all our government and president can do is send ""thoughts and prayers,"" then it's time for victims to be the change we need to see. president trump's national security adviser accuses the syrian"
1004,1,"[6, 7, 8, 9, 10]","['00:00:32,418', '00:01:15,689']","[['/Law & Government/Government', 0.6399999856948853]]","government of using chemical weapons, and demands action from global leaders. thousands turn out to show their respects in zimbabwe as the body of opposition leader morgan tsvangira returns home. also in the programme: can you see anything unusual about this picasso? we'll uncover the mystery hiding behind the masterpiece. hello. i'm nkem ifejika, and this is bbc world news. thousands of people in florida, including"
1004,2,"[11, 12, 13, 14, 15]","['00:01:15,689', '00:01:45,500']","[['/Sensitive Subjects', 0.6700000166893005], ['/Law & Government', 0.5]]","survivors of wednesday's mass school shooting, have taken part in a rally to demand tighter gun controls in the united states. the event took place outside the court building in the city of fort lauderdale, a short distance from the school where a former student, nikolas cruz, killed seventeen people. laura westbrook reports. chanting: no more! outside the federal courthouse in fort lauderdale, this was the message to lawmakers. among the protesters"
1004,3,"[16, 17, 18, 19, 20, 21]","['00:01:45,500', '00:02:18,009']","[['/Arts & Entertainment', 0.6899999976158142]]","was emma gonzales, who took cover on the floor of her school's auditorium as a gunman started shooting. she had this to say to donald trump. if the president wants to come up to me and tell me to my face that it was a terrible tragedy and how it should never have happened and maintain telling us how nothing is going to be done about it, i will happily ask him how much money he received from the national rifle association. what she's referring to is the millions of dollars"
1004,4,"[22, 23, 24, 25, 26]","['00:02:18,009', '00:02:50,848']","[['/News/Politics', 0.949999988079071], ['/Sensitive Subjects', 0.8199999928474426]]","the nra has given towards the trump campaign. on a visit to the hospital where the victims of the attack are being treated, the president once again made no mention of guns or gun control. instead, he says the problem is mental illness. just a few kilometres south of where the protest is being held, a gun show is taking place. in the us, there are as many guns in circulation as people. the nra is the most powerful lobbying organisation in the united"
1004,5,"[27, 28, 29, 30, 31, 32]","['00:02:50,848', '00:03:23,848']",[],"states and they have successfully resisted every move to tighten gun controls. and for their supporters, it is a fundamental freedom. when someone infringes a right for persons in this country to keep and bear arms, then it's an infringement on rights and civil liberties. that is a big problem. we will spend our times at funerals... but after yet another school shooting, anger among the younger generation is rising. in fact, students across the country are planning a mass walkout of schools in"
1004,6,"[33, 34, 35, 36, 37]","['00:03:23,848', '00:03:55,709']","[['/Sensitive Subjects', 0.9399999976158142], ['/Law & Government/Public Safety/Crime & Justice', 0.8500000238418579]]","april, the anniversary of the columbine high school massacre. they are demanding adults listen to them and tighten gun control. laura westbrook, bbc news. in the last hour, president trump issued a tweet on the fbi and its investigation into the school shooting. he's suggested that the fbi missed the signals that the florida gunman, nikolas cruz, was planning a massacre at his school because he said the agency is spending too much time investigating his ties"
1004,7,"[38, 39, 40, 41, 42, 43]","['00:03:55,709', '00:04:23,400']","[['/News', 0.75], ['/Law & Government', 0.5600000023841858]]","to russia. he's tweeted that this was not acceptable and the fbi needed to get back to basics. president trump's national security adviser has called on world leaders to hold the syrian government to account for its continued use of chemical weapons. speaking at the munich security conference, hr mcmaster says it is clear that such weapons are still being deployed. tensions between moscow and washington have also been evident at the conference. our chief international correspondent, lyse doucet,"
1004,8,"[44, 45, 46, 47, 48]","['00:04:23,399', '00:04:52,009']",[],"is in munich. it is not the first time that senior us officials have accused president assad's government and its main ally, russia, are being behind the use of chemical weapons in this area. we have recently a warning from the french president, emmanuel macron, saying there was evidence that they would strike in retaliation to the use of chemical weapons. it is not the first time. emmanuel macron, in his case, so there was no proof what we"
1004,9,"[49, 50, 51, 52, 53]","['00:04:52,009', '00:05:24,300']","[['/Reference/General Reference/Public Records', 0.6299999952316284]]","have heard from hr mcmaster, he said thatjudging by public records and by photographs, the evidence is clear. he did not make clear which public record or photographs he was referring to. we do know that time and again, every time this accusation is made, the syrian government denies it and they have responded when there was the warning from emmanuel macron, faisal mekdad, the deputy foreign minister, said that the syrian government"
1004,10,"[54, 55, 56, 57, 58]","['00:05:24,300', '00:05:51,629']","[['/Sensitive Subjects', 0.8899999856948853]]","did not possess chemical weapons and he described them as immoral. let's ta ke let's take a look at some of the other stories making the news. the israeli air force has carried out raids in the gaza strip following an explosion near the border in which four soldiers were hurt. an israeli military spokesman said six hamas military targets were hit, including a tunnel. it's not known if there are any casualties at this stage. around 100 neo-nazis"
